yearID,teamID,W,G,R,RA,HR,H,SO,SV,attendance,ERA
2017,TEX,78,162,799,816,237,1326,1493.0,29,2507760.0,4.699744364396933
2017,TOR,76,162,693,784,222,1320,1327.0,45,3203886.0,4.42320819112628
2017,ARI,93,162,812,659,220,1405,1456.0,43,2134375.0,3.6724496877168633
2017,ATL,72,162,732,821,165,1467,1184.0,36,2505252.0,4.720629047178539
2017,CHN,92,162,822,695,223,1402,1401.0,38,3199562.0,3.9548595117457395
2017,CIN,68,162,753,869,219,1390,1329.0,33,1836917.0,5.167132867132867
2017,COL,87,162,824,757,192,1510,1408.0,47,2953650.0,4.513563644794806
2017,LAN,104,162,770,580,221,1347,1380.0,51,3765856.0,3.382787263497923
2017,MIA,77,162,778,822,194,1497,1282.0,34,1583014.0,4.816081330868761
2017,MIL,86,162,732,697,224,1363,1571.0,54,2627705.0,3.9967719621858424
2017,NYN,70,162,735,863,224,1379,1291.0,34,2460622.0,5.012314126394052
2017,PHI,66,162,690,782,174,1382,1417.0,33,1905354.0,4.565579458709229
2017,PIT,75,162,668,731,151,1331,1213.0,36,1919447.0,4.229291994447015
2017,SDN,71,162,604,816,189,1251,1499.0,45,2138491.0,4.6992078285181735
2017,SFN,64,162,639,776,128,1382,1204.0,32,3303652.0,4.5
2017,SLN,83,162,761,705,196,1402,1348.0,43,3447937.0,4.0149390944610435
2017,WAS,97,162,819,672,215,1477,1327.0,46,2524980.0,3.882027649769585
2018,BAL,47,162,622,892,188,1317,1412.0,28,1564192.0,5.188679245283019
2018,BOS,108,162,876,647,208,1509,1253.0,46,2895575.0,3.7513711151736744
2018,CHA,62,162,656,848,182,1332,1594.0,34,1608817.0,4.847599164926931
2018,CLE,91,162,818,648,216,1447,1189.0,41,1926701.0,3.7733302836230562
2018,DET,64,162,630,796,135,1326,1341.0,37,1856970.0,4.596819457436857
2018,HOU,103,162,797,534,205,1390,1197.0,46,2980549.0,3.111340206185567
2018,KCA,58,162,638,833,155,1350,1310.0,33,1665107.0,4.94622905027933
2018,LAA,80,162,721,722,214,1323,1300.0,35,3020216.0,4.151437847866419
2018,MIN,78,162,738,775,166,1379,1328.0,37,1959197.0,4.502078521939954
2018,NYA,100,162,851,669,267,1374,1421.0,49,3482855.0,3.7759212634470134
2018,OAK,97,162,813,674,227,1407,1381.0,44,1573616.0,3.8194223334091424
2018,SEA,89,162,677,711,176,1402,1221.0,60,2299489.0,4.125172572480442
2018,TBA,90,162,716,646,150,1415,1388.0,52,1154973.0,3.747065592635213
2018,TEX,67,162,737,848,194,1308,1484.0,42,2107107.0,4.9245283018867925
2018,TOR,73,162,709,832,217,1336,1387.0,39,2325281.0,4.8525924203673565
2018,ARI,82,162,693,644,176,1283,1460.0,39,2242695.0,3.7279562542720437
2018,ATL,90,162,759,657,175,1433,1290.0,40,2555781.0,3.7503432494279174
2018,CHN,95,163,761,645,167,1453,1388.0,46,3181089.0,3.64551817566042
2018,CIN,67,162,696,819,172,1404,1376.0,38,1629356.0,4.653018736988202
2018,COL,91,163,780,745,210,1418,1397.0,51,3015880.0,4.331650218039936
2018,LAN,92,163,804,610,235,1394,1436.0,48,3857500.0,3.3963414634146343
2018,MIA,63,161,589,809,128,1303,1384.0,30,811104.0,4.762135922330097
2018,MIL,96,163,754,659,218,1398,1458.0,49,2850875.0,3.7330595482546203
2018,NYN,77,162,676,707,170,1282,1404.0,41,2224995.0,4.0727978092195345
2018,PHI,80,162,677,728,186,1271,1520.0,44,2158124.0,4.146183998155407
2018,PIT,82,161,692,693,157,1381,1229.0,40,1465316.0,4.00418410041841
2018,SDN,66,162,617,767,162,1289,1523.0,36,2168536.0,4.410432395332876
2018,SFN,73,162,603,699,133,1324,1467.0,36,3156185.0,3.953923357664234
2018,SLN,88,162,759,691,205,1369,1380.0,43,3403587.0,3.8527256069628955
2018,WAS,82,162,771,682,191,1402,1289.0,40,2529604.0,4.039419087136929
2019,BAL,54,162,729,981,213,1379,1435.0,27,1307807.0,5.669438669438669
2019,BOS,84,162,901,828,245,1554,1382.0,33,2924627.0,4.698844323589395
2019,CHA,72,161,708,832,182,1443,1549.0,33,1649775.0,4.905615856536102
2019,CLE,93,162,769,657,223,1354,1332.0,42,1738642.0,3.793647113378159
2019,DET,47,161,582,915,149,1333,1595.0,31,1501430.0,5.256803907885555
2019,HOU,107,162,920,640,288,1538,1166.0,47,2857367.0,3.661955778436289
2019,KCA,59,162,691,869,162,1356,1405.0,37,1479659.0,5.20421052631579
2019,LAA,72,162,769,868,220,1368,1276.0,32,3019012.0,5.115526802218114
2019,MIN,101,162,939,754,307,1547,1334.0,50,2294152.0,4.182232346241458
2019,NYA,103,162,943,739,306,1493,1437.0,50,3304404.0,4.3097713097713095
2019,OAK,97,162,845,680,257,1384,1338.0,45,1662211.0,3.9686006825938565
2019,SEA,68,162,758,893,239,1305,1581.0,34,1791863.0,4.996062992125984
2019,TBA,96,162,769,656,217,1427,1493.0,46,1178735.0,3.6748813022835183
2019,TEX,78,162,810,878,223,1374,1578.0,33,2132994.0,5.088317107093185
