yearID,teamID,H,HR,BB,SO,AB,RBI,R,W,G
2016,WAS,1403,203,536,1252.0,5490,735.0,763,95,162
2017,ARI,1405,220,578,1456.0,5525,776.0,812,93,162
2017,ATL,1467,165,474,1184.0,5584,706.0,732,72,162
2017,BAL,1469,232,392,1412.0,5650,713.0,743,75,162
2017,BOS,1461,168,571,1224.0,5669,735.0,785,93,162
2017,CHA,1412,186,401,1397.0,5513,670.0,706,67,162
2017,CHN,1402,223,622,1401.0,5496,785.0,822,92,162
2017,CIN,1390,219,565,1329.0,5484,715.0,753,68,162
2017,CLE,1449,212,604,1153.0,5511,780.0,818,102,162
2017,COL,1510,192,519,1408.0,5534,793.0,824,87,162
2017,DET,1435,187,503,1313.0,5556,699.0,735,64,162
2017,HOU,1581,238,509,1087.0,5611,854.0,896,101,162
2017,KCA,1436,193,390,1166.0,5536,660.0,702,80,162
2017,LAA,1314,186,523,1198.0,5415,678.0,710,80,162
2017,LAN,1347,221,649,1380.0,5408,730.0,770,104,162
2017,MIA,1497,194,486,1282.0,5602,743.0,778,77,162
2017,MIL,1363,224,547,1571.0,5467,695.0,732,86,162
2017,MIN,1444,206,593,1342.0,5557,781.0,815,85,162
2017,NYA,1463,241,616,1386.0,5594,821.0,858,91,162
2017,NYN,1379,224,529,1291.0,5510,713.0,735,70,162
2017,OAK,1344,234,565,1491.0,5464,708.0,739,75,162
2017,PHI,1382,174,494,1417.0,5535,654.0,690,66,162
2017,PIT,1331,151,519,1213.0,5458,635.0,668,75,162
2017,SDN,1251,189,460,1499.0,5356,576.0,604,71,162
2017,SEA,1436,200,487,1267.0,5551,714.0,750,78,162
2017,SFN,1382,128,467,1204.0,5551,612.0,639,64,162
2017,SLN,1402,196,593,1348.0,5470,728.0,761,83,162
2017,TBA,1340,228,545,1538.0,5478,671.0,694,80,162
2017,TEX,1326,237,544,1493.0,5430,756.0,799,78,162
2017,TOR,1320,222,542,1327.0,5499,661.0,693,76,162
2017,WAS,1477,215,542,1327.0,5553,796.0,819,97,162
2018,ARI,1283,176,560,1460.0,5460,658.0,693,82,162
2018,ATL,1433,175,511,1290.0,5582,717.0,759,90,162
2018,BAL,1317,188,422,1412.0,5507,593.0,622,47,162
2018,BOS,1509,208,569,1253.0,5623,829.0,876,108,162
2018,CHA,1332,182,425,1594.0,5523,639.0,656,62,162
2018,CHN,1453,167,576,1388.0,5624,722.0,761,95,163
2018,CIN,1404,172,559,1376.0,5532,665.0,696,67,162
2018,CLE,1447,216,554,1189.0,5595,786.0,818,91,162
2018,COL,1418,210,507,1397.0,5541,748.0,780,91,163
2018,DET,1326,135,428,1341.0,5494,597.0,630,64,162
2018,HOU,1390,205,565,1197.0,5453,763.0,797,103,162
2018,KCA,1350,155,427,1310.0,5505,606.0,638,58,162
2018,LAA,1323,214,514,1300.0,5472,690.0,721,80,162
2018,LAN,1394,235,647,1436.0,5572,756.0,804,92,163
2018,MIA,1303,128,455,1384.0,5488,554.0,589,63,161
2018,MIL,1398,218,537,1458.0,5542,711.0,754,96,163
2018,MIN,1379,166,534,1328.0,5526,704.0,738,78,162
2018,NYA,1374,267,625,1421.0,5515,821.0,851,100,162
2018,NYN,1282,170,566,1404.0,5468,649.0,676,77,162
2018,OAK,1407,227,550,1381.0,5579,778.0,813,97,162
2018,PHI,1270,186,582,1520.0,5424,653.0,677,80,162
2018,PIT,1381,157,474,1229.0,5447,665.0,692,82,161
2018,SDN,1289,162,471,1523.0,5486,583.0,617,66,162
2018,SEA,1402,176,430,1221.0,5513,644.0,677,89,162
2018,SFN,1324,133,448,1467.0,5541,573.0,603,73,162
2018,SLN,1369,205,525,1380.0,5498,725.0,759,88,162
2018,TBA,1415,150,540,1388.0,5475,664.0,716,90,162
2018,TEX,1308,194,555,1484.0,5453,696.0,737,67,162
2018,TOR,1336,217,499,1387.0,5477,680.0,709,73,162
2018,WAS,1402,191,631,1289.0,5517,737.0,771,82,162
2019,ARI,1419,220,540,1360.0,5633,778.0,813,85,162
2019,ATL,1432,249,619,1467.0,5560,824.0,855,97,162
2019,BAL,1379,213,462,1435.0,5596,698.0,729,54,162
2019,BOS,1554,245,590,1382.0,5770,857.0,901,84,162
2019,CHA,1443,182,378,1549.0,5529,676.0,708,72,161
2019,CHN,1378,256,581,1460.0,5461,783.0,814,84,162
2019,CIN,1328,227,492,1436.0,5450,679.0,701,75,162
2019,CLE,1354,223,563,1332.0,5425,731.0,769,93,162
2019,COL,1502,224,489,1503.0,5660,803.0,835,71,162
2019,DET,1333,149,391,1595.0,5549,556.0,582,47,161
2019,HOU,1538,288,645,1166.0,5613,891.0,920,107,162
2019,KCA,1356,162,456,1405.0,5496,655.0,691,59,162
2019,LAA,1368,220,586,1276.0,5542,734.0,769,72,162
